formula_pretty,FM/AFM,,
InAs,,,
TlS,,,
ReSe,,,
Al2Fe,,,
As2Pd,,,
TlBi,,,
TeAu,,,
FeSn2,,,
V2Se,,,
AlBi,,,
In2S5,,,
NbSe3,,,
Ta2Se3,,,
TlCl,,,
PC,,,
Bi2Te3,,,
IrF4,,,
Nb2Te3,,,
V2Se3,,,
Ta2Te,,,
Ag2Se,,,
AgSe,,,
HgBr2,,,
GeS,,,
MnCl3,,,
ZrAu,,,
FeC2,,,
Nb2Se3,,,
Ca5Co,,,
TiI2,,,
BiBr4,,,
ZrF,,,
Si2Os,,,
MoF2,,,
SI,,,
Cr3S4,,,
Y2I5,,,
SiBi,,,
Al3Rh,,,
PdSe,,,
Ba5Sc,,,
Au2S,,,
Al2S3,,,
VBr3,,,
SnBr3,,,
Ga2S3,,,
Al2S5,,,
AsF4,,,
BaAg,,,
SiF4,,,
SrCl2,,,
CuBr,,,
Bi9Cl2,,,
TiI2,,,
P2Pd,,,
GaS,,,
SiP3,,,
SiSb,,,
HgCl2,,,
ZrC2,,,
Ba2Rh,,,
Ba2Cd,,,
Te4Mo3,,,
TiCu,,,
Mg5Ir,,,
TlCl,,,
SbCl3,,,
Sc7Br10,,,
ReF4,,,
BS,,,
RuBr4,,,
MnBr3,,,
TlCl3,,,
NbF5,,,
AuS,,,
ZrF2,,,
Tc3F8,,,
CrI2,,,
TlN,,,
NbS3,,,
NiBi2,,,
TiI4,,,
PF4,,,
NbSe2,,,
Bi4Cl,,,
PbCl2,,,
SnCl3,,,
Mn2I5,,,
SnTe2,,,
Te3As2,,,
TeBr,,,
Be2Rh,,,
TaSe2,,,
CoF2,,,
VI4,,,
YMg5,,,
TlI3,,,
In2Se5,,,
NbBr5,,,
InP,,,
VS3,,,
ScI2,,,
Te3Mo,,,
TlAs5,,,
TlSe,,,
SI,,,
TcCl3,,,
Cu2S,,,
SeI,,,
V2Te3,,,
TiGe2,,,
AgF,,,
Ta2S,,,
Tl4Se3,,,
Zr3Te2,,,
NbSe3,,,
AgI,,,
PbF3,,,
Tl2Te,,,
WF2,,,
P2S5,,,
NiBi2,,,
Tc2F7,,,
VS,,,
TiCl3,FM,,
SnAs,,,
CF4,,,
InSb,,,
VCl4,,,
ScTe3,,,
Ba5Ir,,,
Be5Ir,,,
In3Ir,,,
Nb2S3,,,
ReF3,,,
VTe,,,
BiF3,,,
AlF3,,,
BF,,,
As2S3,,,
Nb2Te3,,,
VI5,,,
Ga2Te5,,,
InF,,,
IrPb4,,,
AgBr,,,
BiCl4,,,
ZrBr2,,,
CdI2,,,
Ta2Se3,,,
Tl3Ir,,,
Tl2Te,,,
NbCl4,,,
TaCl5,,,
In2Te5,,,
GaF,,,
CrF4,,,
Tc2F7,,,
P2Pd,,,
Ag2Te,,,
Sc7F10,,,
Al3Co,,,
Re3F8,,,
YI2,,,
ScSi3,,,
Y2F3,,,
TePb,,,
GeF4,,,
Sc7I10,,,
HgCl2,,,
PtSe,,,
TaBr5,,,
TePd,,,
Sc5Br8,,,
GaSe,FM,,
ZrCl2,,,
CuSe,,,
In4Te3,,,
YS3,,,
TeAu,,,
SbBr3,,,
Fe4Se5,,,
Tl2Te5,,,
NbBr4,,,
MgI2,,,
HgCl2,,,
TlBr,,,
TeBr,,,
YBr2,,,
GaSe,,,
Al4Se3,,,
Re2F5,,,
Ga4Se3,,,
Tl2Se,,,
LaMg5,,,
TlBr,,,
AlBr3,,,
TaI5,,,
Tl2Te5,,,
As4I,,,
ZrI,,,
TiCl4,,,
SeI,,,
RhF4,,,
NbF4,,,
AsC,,,
AsF3,,,
Ag2Te,,,
NiSe,FM,,
MnI4,,,
HfI2,,,
AgTe2,,,
TaTe3,,,
CaCl2,,,
GaBi,,,
As9I2,,,
Ta2S3,,,
AgSe,,,
TiAg,,,
TaF4,,,
Sr2Hg,,,
GaP5,,,
ReF3,,,
Ca5Sc,,,
Bi2Pt,,,
BAs,,,
GaSe,,,
B2Te3,,,
InCl3,,,
ScBr2,,,
Ru4S5,,,
Mg2Hg,,,
InF3,,,
BP5,,,
PtS,,,
GaTe,,,
CI2,,,
Y7Cl10,,,
AlTe,,,
HfAu,,,
TaF4,,,
CrCl2,,,
CrCl2,,,
VF4,,,
AuSe2,,,
Te4W3,,,
PF3,,,
ZrSi2,,,
CuI,,,
VCl4,,,
AsPb,,,
InS,,,
ZrPb2,,,
SiI2,,,
CaCu,,,
BaC2,,,
Bi2Pt,,,
NbTe2,,,
RuCl4,,,
Bi4Br,,,
Sb2Te3,,,
ReI3,,,
TiI3,,,
MnSe2,,,
RuI4,,,
VI4,,,
Ba2Zn,,,
YI3,,,
Sr5Ir,,,
ScGe3,,,
BTe,,,
Mn3Cl8,,,
In4S3,,,
B2Te5,,,
Al2S,,,
TlI,,,
Re2F7,,,
BeCl2,,,
NiS,,,
BiB,,,
SnP,,,
Sb4I,,,
BaAu,,,
GaF,,,
RhSe,,,
YSe3,,,
Sb2Pd,,,
Be2N,,,
TaI5,,,
TcF3,,,
PbF2,,,
Ca2Hg,,,
MnI3,,,
MnTe,,,
TiTe5,,,
NF3,,,
HfF4,,,
TaSe,,,
NbSe,,,
B2Se3,,,
Hf3Se2,,,
Be2Hg,,,
Al2Se5,,,
OsF4,,,
Ga2Te5,,,
Ga3Ir,,,
Sc2Cl3,,,
ZrF2,,,
TlCl,,,
CuCl,,,
AuF2,,,
InS,,,
TaCl3,,,
B2Te5,,,
Sc5F8,,,
MgBr2,,,
LaSn3,,,
SbBr3,,,
VF2,,,
GaF3,,,
BaCl2,,,
NiTe,AFM,,
NiI2,FM,,
YSn3,,,
Sb9I2,,,
CuSe,,,
ZrBr2,,,
TeCl,,,
Nb2Se,,,
FePb2,,,
CuTe2,,,
TcSe,,,
ReS2,,,
CuS,,,
SiN,,,
BiI4,,,
Y5Cl8,,,
TeCl,,,
AlSe,,,
NiF2,,,
NbI4,,,
PPb,,,
ZrF4,,,
FeGe2,,,
CuCl,,,
Sr5Sc,,,
SiF3,,,
BF3,,,
TaF4,,,
Mn2Cl7,,,
TcF4,,,
Sr2Rh,,,
ZrSn2,,,
CoS,,,
IrSe,,,
TaS3,,,
MnCl3,,,
TlBr3,,,
Bi2Pd,,,
SnTe,,,
TiBr4,,,
ScI3,,,
AuI,,,
Mn2Br5,,,
MnCl4,,,
InTe,,,
TcS2,,,
ScPb3,,,
TaS2,,,
GeF3,,,
Y2Br3,,,
VSe3,,,
BP,,,
Ga2S,,,
Nb2S3,,,
As2S5,,,
Bi4F,,,
TaTe2,,,
InBi3,,,
Sc2I5,,,
Bi9Br2,,,
Te3P2,,,
AlF,,,
HgI2,,,
MnBr4,,,
V2Te3,,,
Cr3Se4,,,
AlS,,,
VSe2,FM,,
CrBr2,,,
Ga2S,,,
Ca5Rh,,,
AlP3,,,
Si4Ir,,,
TlTe,,,
MgF2,,,
InTe,,,
Ti3Te2,,,
CrS3,,,
CoCl4,,,
AlP5,,,
TlP3,,,
Tc2F5,,,
NbCl3,,,
B4Se3,,,
VBr4,,,
TaS3,,,
PCl3,,,
TeF,,,
TlSb5,,,
SnI3,,,
NF4,,,
Y7I10,,,
Os4S5,,,
Ta2O5,,,
Re2F7,,,
BSb,,,
Mn2Br7,,,
NbCl5,,,
SnSb2,,,
Re2I5,,,
Tl2Se,,,
Sb2Pt,,,
GeSb3,,,
BaPb2,,,
As2Pd,,,
Ta2O5,,,
Te3W,,,
InSb3,,,
MgCu,,,
TaCl4,,,
AlP,,,
BiI3,,,
HfBr3,,,
BeCu,,,
EuC2,,,
Y2F5,,,
InN,,,
BiB,,,
MnS,,,
Sn3Br8,,,
InP5,,,
Sn3Ir,,,
In2S,,,
BaGe2,,,
ScBe5,,,
ZnI2,,,
Sc2F5,,,
Mn3Br8,,,
MoF2,,,
AuS,,,
ZrBr3,,,
IN4,,,
PdC3,,,
TiF3,,,
GaP3,,,
CoSi3,,,
Sc2S3,,,
MnF2,,,
Bi2O5,,,
Mg2N,,,
CoPb3,,,
AlF,,,
InAs3,,,
Te3N2,,,
CuF,,,
B3Ir,,,
NbTe3,,,
NbF4,,,
V3Cl8,,,
Bi9F2,,,
P3C,,,
As2Pt,,,
InN,,,
Sn3Pt,,,
HgF2,,,
Y2Se3,,,
P3Pb,,,
Tl2S3,,,
RhC3,,,
N9Cl2,,,
Ge4Ir,,,
Sc5I8,,,
Sb2O5,,,
Se3N2,,,
N2O3,,,
B2S,,,
HgF2,,,
CeC5,,,
CoGe3,,,
P4I,,,
Si3I8,,,
Sb2Te5,,,
Ge3Pd,,,
AsF3,,,
CrF2,FM,,
InF,,,
TlBi5,,,
FeI4,,,
BF,,,
CrTe2,,,
MoI4,,,
VTe3,FM,,
Sb2O3,,,
NiS,,,
CoBr4,,,
Re2I7,,,
NiPb3,,,
TaSe3,,,
BP3,,,
VI3,,,
FeF2,,,
Sn3Rh,,,
P4C3,,,
La2Cl3,,,
S5N2,,,
NiGe4,,,
Si3P4,,,
Tc2I5,,,
Si3N4,,,
PI4,,,
LuC2,,,
Sc2Te3,,,
WI4,,,
NbI4,,,
Sn4Rh,,,
Re2Br7,,,
CoSn4,,,
Hf3S2,,,
PdN2,,,
NiBi2,,,
Si3Pd,,,
NiTe,AFM,,
BiPb,,,
UF4,,,
InN3,,,
BSe,,,
Pb3Cl8,,,
CF3,,,
Ga2Te3,,,
SiN2,,,
P2Pt,,,
PdPb3,,,
P4Br,,,
AuS2,,,
Bi2S5,,,
CoTe,,,
AgBr,,,
Tc2I7,,,
PtSe,,,
TaI4,,,
VBr5,,,
MnTe2,,,
TaS2,,,
Sn3Cl8,,,
ReBr3,,,
Ge3Br8,,,
Ag18S11,,,
Si3F8,,,
P9I2,,,
Sb2Se5,,,
P4F,,,
Nb3F8,,,
Mn2Cl5,,,
Pb3Br8,,,
CoB3,,,
VF5,,,
CrSe3,,,
IrC4,,,
VI5,,,
NiSn3,,,
ScC3,,,
AlN5,,,
PtN2,,,
VF3,,,
TlN5,,,
B2S,,,
TeF,,,
AsCl3,,,
Pb3N4,,,
TaI4,,,
TaF5,,,
Tc2Cl7,,,
ZnF2,,,
TaBr4,,,
In2S,,,
Ag18Te11,,,
Si3As4,,,
Re2Cl7,,,
PdN2,,,
Ge3N4,,,
WSe3,,,
PF3,,,
SbBr3,,,
HfCl4,,,
BiCl3,,,
BiI3,,,
SbI3,,,
PCl3,,,
OsCl3,,,
TlAs,,,
InP,,,
AlSb,,,
LaPb3,,,
AsI3,,,
BiF3,,,
MoSe3,,,
SbCl3,,,
PI3,,,
I3N,,,
Ge3F8,,,
La5Cl8,,,
RuS2,,,
ThSi2,,,
CuBr2,,,
ZnTe,,,
NdSe3,,,
HgH,,,
GeF2,,,
SiF2,,,
HfS,,,
PN,,,
Ge3As4,,,
ZrCl4,,,
ThPb2,,,
As4C3,,,
SbTe,,,
AlS,,,
Si3P4,,,
Ag2Se,,,
Al2O3,,,
AgSe2,,,
CeTe,,,
BS,,,
BaF2,,,
Cd3Cu,,,
AgO,,,
Ba2Bi,,,
PdI2,,,
SbCl4,,,
GeS,,,
BaBr2,,,
LuAs2,,,
PbF4,,,
WSe,,,
CaF2,,,
BeI2,,,
Zn3Au,,,
TiBr4,,,
PO2,,,
AsBr5,,,
Si2O3,,,
KCa,,,
Pt3S4,,,
SnBr4,,,
Ge3W,,,
BiCl3,,,
BI3,,,
CaI2,,,
GaTe,,,
Rb2F,,,
Tl2Se3,,,
VTe2,,,
TaTe2,,,
AsI5,,,
Tl2O3,,,
BiAs,,,
Bi4Pb3,,,
BP,,,
HfO2,,,
CCl4,,,
BiO2,,,
Sr2P,,,
PI5,,,
SbAs,,,
TlTe,,,
NaSr,,,
HfO2,,,
AsSe,,,
NbI4,,,
AgO2,,,
TeC,,,
BiSb,,,
SiI2,,,
Sn3Mo,,,
HfO2,,,
SiSn,,,
TlS,,,
CF4,,,
SnPb,,,
CrSb2,,,
PbO2,,,
TeP,,,
BiBr3,,,
I5N,,,
SiF4,,,
Nb2Cl5,,,
TaF4,,,
ErS3,,,
CI4,,,
Na2Br,,,
RhPb3,,,
NCl4,,,
BSe,,,
Mg2Bi,,,
NbF5,,,
RbSr,,,
SiTe,,,
B2Te3,,,
BiO2,,,
LiCa,,,
BiP,,,
ZnSe,,,
Pb3N4,,,
PrTe3,,,
NbF4,,,
I3N,,,
ZrBr4,,,
PF3,,,
AuBr2,,,
MoSe,,,
K2I,,,
BaF2,,,
Sb2O3,,,
NbCl5,,,
Tl2Te3,,,
MoS,,,
MoAs,,,
SbI3,,,
CrN2,,,
TeP,,,
AlAs,,,
AuI2,,,
Ni3S4,,,
PPd,,,
AlTe,,,
InSe,,,
Cd3As,,,
Ge3Bi4,,,
BiTe,,,
BAs,,,
PCl4,,,
SiSe,,,
OsS2,,,
NiI2,FM,,
AlI3,,,
PtN,,,
Cd3Ag,,,
Bi6Au,,,
ZrAs2,,,
AsF5,,,
BiI5,,,
Hg3N,,,
Ga2Se3,,,
Ge3Sb4,,,
CdSe,,,
N2O3,,,
PbF2,,,
CaI2,,,
CrTe,,,
Sn3Sb4,,,
SbPd,,,
Sn3N4,,,
Mg2Sb,,,
LuBi2,,,
Cd3Au,,,
PO2,,,
ZrSb2,,,
Sn2O5,,,
TaO2,,,
SbCl5,,,
Sb4C3,,,
Ca2Sb,,,
PrSe3,,,
AuSe2,,,
BF3,,,
CaBr2,,,
AgS2,,,
TaS2,,,
YSe,,,
MgBr2,,,
Rb2I,,,
Te2Au,,,
TeAu2,,,
InS,,,
Fe3Te4,,,
SnTe,,,
Fe3Se4,,,
V2I5,FM,,
SnS,,,
TaCl5,,,
As2O3,,,
Te2Ru,,,
CCl2,,,
Li2I,,,
Sn2O3,,,
SnSe,,,
V2Cl5,FM,,
AsSe,,,
PO2,,,
SeN,,,
B13Sb2,,,
ZnS,,,
SrBr2,,,
VBr5,,,
P4Pb3,,,
InN,,,
BTe,,,
HgSe,,,
AsN,,,
NiN,,,
Be2Bi,,,
AsO2,,,
SbCl5,,,
OsO3,,,
CaI2,,,
AsCl5,,,
SiCl4,,,
SbSe,,,
Sn3W,,,
PbSe,,,
Cr3O8,,,
BaNa,,,
ErSe3,,,
GeCl4,,,
AsP,,,
Sb2O3,,,
BiSe,,,
GaAs,,,
SbBr5,,,
NbI5,,,
HfTe,,,
Sb6Au,,,
AuO2,,,
RbCa,,,
PtBr2,,,
Sr2Bi,,,
Ba2P,,,
MgI2,,,
RuSe2,,,
SiS,,,
BeBr2,,,
K2Br,,,
SbCl3,,,
Bi2B13,,,
In2O3,,,
Fe3Te4,,,
Ge3P4,,,
H3Pd,,,
SO3,,,
PbBr2,,,
AlBi,,,
NiF2,,,
HoP2,,,
AgBr2,,,
CaCl2,,,
TeAs,,,
VBr4,,,
HoAs2,,,
Sn3Bi4,,,
Nb2O5,,,
Li2Br,,,
Nb2Br5,,,
AsPt,,,
CuCl2,FM,,
Hg3P,,,
KSr,,,
AsO2,,,
InP,,,
Mg2P,,,
Na2F,,,
TaI5,,,
CrP,,,
Pb3W,,,
PCl5,,,
ZrTe,,,
Ca2As,,,
RuO3,,,
ScSe,,,
PbS,,,
B2S3,,,
OsSe2,,,
GaBi,,,
MoP2,,,
TaBr4,,,
AsO2,,,
BeF2,,,
BeI2,,,
SiBr4,,,
CSe,,,
HfCl4,,,
HfO,,,
Sr2As,,,
TiCl4,,,
PO2,,,
Si3Sb4,,,
TeN,,,
HfF4,,,
CuTe2,,,
HgS,,,
ZrO2,,,
SnCl2,,,
TiTe,,,
NiH3,,,
CBr4,,,
PCl3,,,
ZrO2,,,
GaS,,,
Os3Se4,,,
BeCl2,,,
WN2,,,
Ta2Cl5,,,
TiI4,,,
TiS,,,
VF5,,,
ScS,,,
CaCl2,,,
AsPd,,,
HoBi2,,,
AlBr3,,,
ZnSe,,,
TeP,,,
Li2Cl,,,
ZrSe,,,
Ru3S4,,,
GeO2,,,
CuI2,,,
BCl3,,,
Ag2S,,,
Ru3Se4,,,
FeSe2,,,
TePb,,,
GeO2,,,
Sb4Pb3,,,
NaBe,,,
PtI2,,,
GePb,,,
Ta2Br5,,,
SbSe,,,
Te4Pd3,,,
Te2Ru,,,
AsI3,,,
HfO2,,,
Sn3As4,,,
NCl5,,,
Si3Rh,,,
Ag2Te,,,
TcO2,,,
NiCl2,FM,,
AgTe2,,,
NaCa,,,
Al2Te3,,,
CrAs2,,,
PbCl4,,,
PSe,,,
Ba2N,,,
SeO3,,,
Si3As4,,,
AuS2,,,
SbTe,,,
RbBa,,,
Ni3Se4,,,
CrP2,,,
TiN2,,,
Tc2O7,,,
AsS,,,
TeAs,,,
Te4Os3,,,
Nb2I5,,,
Te2Os,,,
Cu2S,,,
BaCl2,,,
Cd3P,,,
Mn2O7,,,
PF5,,,
OsO2,,,
HoSe,,,
HoTe,,,
AlSb,,,
BBr3,,,
TaO2,,,
NF5,,,
HfSe2,,,
CeSe,,,
SnBr2,,,
PBr3,,,
HfSe,,,
SiGe,,,
PbCl2,,,
Si3W,,,
SiPb,,,
CdS,,,
BaI2,,,
HfP2,,,
As2O3,,,
BiTe,,,
Au2Se,,,
NiP,,,
TaTe2,,,
Pd3S4,,,
HfI4,,,
In2O3,,,
Cd3Bi,,,
BSb,,,
BaCl2,,,
LuP2,,,
ScO3,,,
KBe,,,
ThC2,,,
AsO2,,,
CuHg3,,,
Ge3Mo,,,
MoPb3,,,
W3O8,,,
TaSe2,,,
AuO,,,
HgSe,,,
TaBr5,,,
CdH,,,
Hg3Bi,,,
YTe,,,
CrSi3,,,
GaCl3,,,
PdF2,,,
TiF4,,,
TiTe2,,,
NCl3,,,
CdTe,,,
Tl2S3,,,
BiCl5,,,
Cu2Se,,,
BaBr2,,,
NbBr5,,,
NF3,,,
SrF2,,,
SmTe,,,
AsS,,,
Pt3Se4,,,
HgS,,,
SrCl2,,,
Bi4C3,,,
ZrS2,,,
CrGe3,,,
CrO3,,,
YO3,,,
Si3Bi4,,,
P2O3,,,
BaLi,,,
V2F5,,,
AgHg3,,,
TiP2,,,
In2Te3,,,
Bi2O3,,,
NdTe3,,,
HgS,,,
AgCl2,,,
GeF4,,,
ScTe,,,
BeCl2,,,
HfS2,,,
P2O3,,,
OsSe2,,,
SmSe,,,
PS,,,
PdSe2,,,
NbTe2,,,
InF3,,,
SnCl4,,,
SN,,,
HgTe,,,
InAs,,,
GaSb,,,
VCl5,,,
SbF3,,,
CdS,,,
SrLi,,,
K2Cl,,,
As2O3,,,
C2O3,,,
Be2Sb,,,
Br4N,,,
Ca2Bi,,,
Al2Se3,,,
AsCl3,,,
TiSe2,,,
CuSe2,,,
AsF3,,,
Ba2Sb,,,
CaCl2,,,
PBr5,,,
PSe,,,
LuN2,,,
BiI3,,,
CrAs,,,
B2O3,,,
MoP,,,
MoAs2,,,
Sr2N,,,
VF5,,,
Bi2O3,,,
SrF2,,,
Be2As,,,
SnC,,,
LiMg,,,
ReO2,,,
Hf2O7,,,
RuO2,,,
Ca2P,,,
AlBi,,,
PdCl2,,,
CrN,,,
AlCl3,,,
As2O3,,,
Cd3Sb,,,
SN,,,
VCl4,,,
SnI2,,,
Ge2O5,,,
PO2,,,
In2S3,,,
BiN,,,
Nb2F5,,,
Ba2As,,,
SrI2,,,
SbTe,,,
NO2,,,
P2W,,,
InTe,,,
As4Pb3,,,
AuN6,,,
TaO2,,,
NiAs,,,
TlAs,,,
BeBr2,,,
In2Se3,,,
CeS2,,,
RuSe2,,,
BiSe,,,
K2F,,,
Br5N,,,
SbSe,,,
CdSe,,,
HfBr4,,,
B2O3,,,
N2O3,,,
Ca2N,,,
Al2Se3,,,
WO3,,,
AsCl4,,,
Al2S3,,,
SeO3,,,
AuCl2,,,
AgN6,,,
Ge2O3,,,
ZnTe,,,
Mo3O8,,,
Sn3N4,,,
CuN3,,,
TiAs2,,,
WC3,,,
NbBr4,,,
AlSb,,,
TlSe,,,
WN,,,
GaF3,,,
CdS,,,
SrI2,,,
B2S3,,,
CdSe,,,
SiI4,,,
PSe,,,
Au2S,,,
ThSn2,,,
SrBr2,,,
SiO2,,,
NaMg,,,
Ga2S3,,,
GaN,,,
Sr2Sb,,,
NbF5,,,
Ga2O3,,,
PtF2,,,
PS,,,
TeN,,,
OsS2,,,
AlN,,,
MgBr2,,,
P2O3,,,
AsS,,,
CaF2,,,
Ge3Ir,,,
Na2I,,,
GaP,,,
BiB,,,
NO2,,,
Ga2S3,,,
As2W,,,
PS,,,
GeBr4,,,
BiO2,,,
MgCl2,,,
NbSe2,,,
Zr2O7,,,
KMg,,,
GeSe,,,
SbP,,,
W4O9,,,
FeSe2,,,
TeAs,,,
ZrS,,,
RuS2,,,
B2Te3,,,
CrS,,,
SrCl2,,,
V2O5,,,
WS,,,
InBi,,,
Cr3O8,,,
AlSe,,,
AsBr3,,,
SbS,,,
TlN,,,
Rb2Cl,,,
CrPb3,,,
MgI2,,,
TaCl4,,,
InSb,,,
ZrSe2,,,
Mn2I7,,,
PF3,,,
AsF3,,,
Sn3I8,,,
B2S3,,,
B2Se3,,,
NbCl4,,,
As6Au,,,
SbI3,,,
CrSn3,,,
AgP6,,,
CdTe,,,
SbS,,,
TeN,,,
SbF3,,,
C2O5,,,
In2S3,,,
TlBi,,,
PdBr2,,,
P6Au,,,
PbBr4,,,
MoC3,FM,,
Al2Te3,,,
NiBr2,FM,,
VI5,,,
Ga2Se3,,,
Be2N,,,
Os3S4,,,
Mo4O9,,,
MgF2,,,
VSe2,FM,,
Ni3Te4,,,
SN,,,
CaBr2,,,
P2O3,,,
RbMg,,,
Te4Ru3,,,
TaI4,,,
Ta2F5,,,
TlP,,,
Pb3F8,,,
AuN3,,,
CaBr2,,,
Pd3Se4,,,
In2S3,,,
AuF2,,,
NbCl5,,,
AsSe,,,
ZnTe,,,
AsBr3,,,
Sn3Ir,,,
V2Br5,FM,,
B2Se3,,,
SiC,,,
HfN2,,,
HfTe2,,,
PI3,,,
BeCl2,,,
FeTe2,,,
CoSi3,,,
AgF2,,,
TeW,,,
BeI2,,,
Sn3Rh,,,
Rb2Br,,,
BiW,,,
In2Se3,,,
SbMo,,,
MgF2,,,
CeTe2,,,
CrC3,,,
PBr5,,,
ZrI4,,,
AsW,,,
NiBi,,,
Zn3Cu,,,
B2Se3,,,
AsBr5,,,
Os3Se4,,,
Ru3Se4,,,
HfAs2,,,
GeI4,,,
TlF3,,,
WCl5,,,
PF5,,,
BiO2,,,
CoSn3,,,
SnI4,,,
B13N2,,,
TiSb2,,,
W3O8,,,
MoI5,,,
Ga13N2,,,
CaF2,,,
TlN,,,
SbBr3,,,
Be2P,,,
Ge3Rh,,,
NF5,,,
HfBi2,,,
WBr5,,,
BiPt,,,
TaBr5,,,
SrF2,,,
Ta2O3,,,
Ta4O9,,,
AsCl5,,,
Mg2N,,,
CrBr5,,,
AsI5,,,
GaI3,,,
Br3N,,,
SbBr5,,,
PO2,,,
In2O3,,,
TeMo,,,
BaI2,,,
CrF5,,,
Te4Os3,,,
CoPb3,,,
AuO2,,,
NbBr5,,,
BiPd,,,
InN,,,
Zn3Ag,,,
InBr3,,,
RbBe,,,
ZrO2,,,
Zn3N,,,
Te2Os,,,
Nb2O3,,,
ZrO2,,,
I5N,,,
NO2,,,
NO2,,,
ZrBi2,,,
La5F8,,,
CuF2,,,
CrBi,,,
SrBr2,,,
PbI4,,,
InCl3,,,
TaI5,,,
Zn3Sb,,,
CrI5,,,
SrI2,,,
RhC3,,,
HfSb2,,,
Mo3O8,,,
B13As2,,,
CO2,,,
VCl5,,,
IrC3,,,
P4C3,,,
YbF3,,,
Os3S4,,,
SbW,,,
VTe2,FM,,
TlBr3,,,
VSe2,FM,,
ZrO,,,
BiMo,,,
AgO2,,,
CO2,,,
MgI2,,,
AsF5,,,
CrBi2,,,
Ge3N4,,,
SO3,,,
Br3N,,,
GeC,,,
Zn3As,,,
B2O3,,,
